AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Cataluńa,Europa,Turquía,40000,156190,3.9
2019,7,Cataluńa,Europa,Ucrania,297700,1637280,5.5
2019,7,Cataluńa,Oceanía,Australia,87390,427210,4.9
2019,7,Cataluńa,Oceanía,Nueva Zelanda,19540,104040,5.3
2019,7,Cataluńa,África,Angola,1070,5610,5.2
2019,7,Cataluńa,África,Argelia,53270,201880,3.8
2019,7,Cataluńa,África,Cabo Verde,380,1580,4.2
2019,7,Cataluńa,África,Camerún,920,3090,3.4
2019,7,Cataluńa,África,Costa de Marfil,2980,15840,5.3
2019,7,Cataluńa,África,Egipto,27850,156760,5.6
2019,7,Cataluńa,África,Gabón,790,2670,3.4
2019,7,Cataluńa,África,Ghana,3150,23860,7.6
2019,7,Cataluńa,África,Guinea,730,4970,6.8
2019,7,Cataluńa,África,Guinea Ecuatorial,1710,15000,8.8
2019,7,Cataluńa,África,Kenia,1570,7200,4.6
2019,7,Cataluńa,África,Libia,760,3240,4.3
2019,7,Cataluńa,África,Mali,2650,18270,6.9
2019,7,Cataluńa,África,Marruecos,159690,891450,5.6
2019,7,Cataluńa,África,Mauricio,1430,5330,3.7
2019,7,Cataluńa,África,Mauritania,1170,7900,6.8
2019,7,Cataluńa,África,Mozambique,910,3510,3.9
2019,7,Cataluńa,África,Nigeria,6910,41430,6.0
2019,7,Cataluńa,África,República Democrática del Congo,350,1260,3.6
2019,7,Cataluńa,África,Senegal,4100,25280,6.2
2019,7,Cataluńa,África,Sudáfrica,9600,43450,4.5
2019,7,Cataluńa,África,Sudán,420,1890,4.5
2019,7,Cataluńa,África,Tanzania,400,2080,5.2
2019,7,Cataluńa,África,Túnez,14270,50240,3.5
2019,7,Cataluńa,África,Uganda,440,1750,4.0
2019,7,Comunidad Foral de Navarra,América,Argentina,1530,11020,7.2
2019,7,Comunidad Foral de Navarra,América,Brasil,1540,11240,7.3
2019,7,Comunidad Foral de Navarra,América,Canadá,2070,10760,5.2
2019,7,Comunidad Foral de Navarra,América,Chile,780,5850,7.5
2019,7,Comunidad Foral de Navarra,América,Colombia,2810,25570,9.1
2019,7,Comunidad Foral de Navarra,América,Ecuador,700,6300,9.0
2019,7,Comunidad Foral de Navarra,América,Estados Unidos de América,33450,194010,5.8
2019,7,Comunidad Foral de Navarra,América,México,2730,21020,7.7
2019,7,Comunidad Foral de Navarra,América,Perú,750,7430,9.9
2019,7,Comunidad Foral de Navarra,América,Venezuela,360,3200,8.9
2019,7,Comunidad Foral de Navarra,Asia,China,2640,15580,5.9
2019,7,Comunidad Foral de Navarra,Asia,Corea,510,4590,9.0
2019,7,Comunidad Foral de Navarra,Asia,Emiratos Árabes Unidos,520,2500,4.8
2019,7,Comunidad Foral de Navarra,Asia,India,390,2500,6.4
2019,7,Comunidad Foral de Navarra,Asia,Israel,350,1750,5.0
2019,7,Comunidad Foral de Navarra,Asia,Japón,1970,11820,6.0
